Keyword,Market,Language,Cluster,Est Monthly Volume,Competition,SEO Difficulty,Search Intent,CPC Indicator,SERP Competitors (Page 1),jaga.care Relevance,Priority,Content Strategy,Notes
hospital bed rental malaysia,MY,EN,Equipment Rental,1000-2500,HIGH,65-75,Transactional,RM 1.50-3.00,"MedBed, iElder, SilverCare, Yaya Katil, Hospital-bed.my, Safe8Well, National Pharmacy",★★★☆☆,LOW,"Comparison guide, not direct competition",Extremely competitive - 8+ dedicated domains
sewa katil hospital,MY,BM,Equipment Rental,500-1000,MEDIUM,50-60,Transactional,RM 1.00-2.00,"Hospital-bed.my, MedBed, Lazada, Shopee",★★★☆☆,MEDIUM,Malay landing page with bundle offer,Less competition in Malay
hospital bed rental KL,MY,EN,Equipment Rental,300-800,HIGH,60-70,Transactional,RM 2.00-4.00,"MedBed, iElder, SilverCare, Katil24jam",★★★☆☆,LOW,Geo-targeted content,Local pack dominated by rental cos
wheelchair rental malaysia,MY,EN,Equipment Rental,200-500,MEDIUM,45-55,Transactional,RM 1.00-2.50,"iElder, Safe8Well, Remeds, SilverCare",★★★★☆,MEDIUM,Bundle as part of Package 2,Part of jaga.care Package 2
medical equipment rental malaysia,MY,EN,Equipment Rental,200-500,MEDIUM,50-60,Mixed,RM 1.50-3.00,"National Pharmacy, iElder, Alpro SilverCare",★★★★☆,MEDIUM,Position as all-in-one solution,Fragmented - nobody bundles
hospital bed rental singapore,SG,EN,Equipment Rental,500-1000,HIGH,60-70,Transactional,SGD 2-5,"Golden Concepts, MA4U, Rainbow Care, Homage",★★★☆☆,LOW,Comparison guide for SG,Mature market
stroke recovery malaysia,MY,EN,Stroke Recovery,300-500,MEDIUM,40-50,Informational,RM 0.50-1.50,"ReU Living, Genesis Life Care, NASAM, Homage",★★★★★,HIGH,Comprehensive guide: Coming Home After Stroke,Content marketing goldmine
stroke rehabilitation KL,MY,EN,Stroke Recovery,200-400,MEDIUM,45-55,Mixed,RM 1.00-3.00,"ReU Living, Genesis Life Care, NASAM",★★★★★,HIGH,Local landing page + service positioning,"Rehab centres dominate, not home services"
post stroke care at home,MY,EN,Stroke Recovery,100-300,LOW,25-35,Info→Transactional,RM 0.30-1.00,"Homage, Pillar Care, generic health sites",★★★★★,HIGH,Pillar content: Complete Home Care After Stroke,Very low competition - massive opportunity
stroke caregiver support malaysia,MY,EN,Stroke Recovery,50-150,VERY LOW,15-25,Informational,RM 0.10-0.50,Almost no dedicated content,★★★★★,HIGH,"Empathy-first content, email capture",Almost ZERO competition
pemulihan strok di rumah,MY,BM,Stroke Recovery,50-150,VERY LOW,10-20,Informational,RM 0.10-0.30,Very few Malay-language resources,★★★★★,HIGH,Malay content hub,First-mover advantage in Malay
stroke rehabilitation singapore,SG,EN,Stroke Recovery,300-500,MEDIUM,50-60,Mixed,SGD 1-3,"TTSH, NUH, SGH, Tan Tock Seng",★★★★☆,MEDIUM,Position against hospital-based rehab,Hospital-dominated SERPs
after stroke home preparation,MY/SG,EN,Stroke Recovery,30-100,VERY LOW,10-15,Informational,RM 0.10-0.30,Almost no results,★★★★★,HIGH,Exact match for jaga.care value prop,Create this category
grab bar installation malaysia,MY,EN,Home Safety Mods,50-150,LOW,20-30,Transactional,RM 0.50-1.50,"iElder, Mandi BP, HomePro, Lazada",★★★★★,HIGH,Service page: Professional Grab Bar Installation,Only retailers rank - no service providers
bathroom safety elderly malaysia,MY,EN,Home Safety Mods,30-100,LOW,15-25,Mixed,RM 0.30-1.00,"Generic articles, HomePro",★★★★★,HIGH,Comprehensive guide with package link,Very low competition
anti-slip floor treatment malaysia,MY,EN,Home Safety Mods,30-100,LOW,20-30,Transactional,RM 0.50-1.50,"Lazada, Shopee, hardware stores",★★★★★,HIGH,Service page with before/after,Product listings only - no services
home modification elderly singapore,SG,EN,Home Safety Mods,100-200,MEDIUM,35-45,Mixed,SGD 1-2,"AIC, HDB EASE, Red Crowns, Retire Genie",★★★★★,HIGH,Position as premium alternative to EASE,Government content dominates
elderly home safety assessment,MY/SG,EN,Home Safety Mods,20-50,VERY LOW,5-15,Transactional,RM 0.50-2.00,Almost no results,★★★★★,HIGH,AI Room Assessor tool as lead magnet,Virtually NO competition
fall prevention home elderly,MY/SG,EN,Home Safety Mods,30-100,LOW,20-30,Informational,RM 0.20-0.80,Generic health articles,★★★★★,HIGH,Guide: 7 Fall Prevention Modifications,Mostly overseas content ranks
HDB EASE programme,SG,EN,Home Safety Mods,500-1000,MEDIUM,55-65,Informational,SGD 0.50-1.00,"HDB.gov.sg, DollarsAndSense, 99.co",★★★★☆,MEDIUM,EASE vs Private Home Modification comparison,340K+ households served via EASE
home safety modification service,MY,EN,Home Safety Mods,10-30,VERY LOW,5-10,Transactional,N/A,No dedicated results,★★★★★,HIGH,Define this category - you ARE the result,Category does not exist yet in MY
elderly care malaysia,MY,EN,General Care,500-1000,HIGH,55-65,Mixed,RM 1.00-3.00,"Homage, Pillar Care, Oretha, IxoraSenior",★★☆☆☆,LOW,"Blog posts only, not landing pages",Too broad and competitive
home care malaysia,MY,EN,General Care,500-1000,HIGH,55-65,Mixed,RM 1.50-3.50,"Homage, Pillar Care, CaregiverAsia",★★☆☆☆,LOW,Blog posts only,Dominated by established platforms
jaga orang tua,MY,BM,General Care,100-300,LOW,20-30,Informational,RM 0.10-0.50,Few dedicated results,★★★★★,HIGH,Brand-aligned Malay content,Brand name IS the keyword!
penjagaan warga emas,MY,BM,General Care,50-150,LOW,15-25,Informational,RM 0.10-0.40,"Government sites, generic articles",★★★★☆,MEDIUM,Malay content authority building,Underserved language market
caregiver malaysia,MY,EN,General Care,200-500,MEDIUM,45-55,Mixed,RM 1.00-2.50,"Homage, Pillar Care, CaregiverAsia",★★★★☆,MEDIUM,Package 3 landing page content,Relevant to Package 3
elderly care singapore,SG,EN,General Care,1000-2500,HIGH,65-75,Mixed,SGD 2-5,"Homage, AIC, CaregiverAsia, Red Crowns",★★☆☆☆,LOW,Blog posts for authority,Very competitive
hospital discharge checklist malaysia,MY,EN,Hospital Discharge,30-100,VERY LOW,10-20,Informational,RM 0.10-0.50,Almost no dedicated content,★★★★★,HIGH,Downloadable PDF checklist + email capture,Nobody targets this
bringing patient home from hospital,MY/SG,EN,Hospital Discharge,50-150,VERY LOW,10-20,Informational,RM 0.10-0.50,"Generic health content, overseas sites",★★★★★,HIGH,Comprehensive guide with service CTA,Exact decision-point moment
prepare home after stroke,MY/SG,EN,Hospital Discharge,30-100,VERY LOW,5-15,Info→Transactional,RM 0.20-0.80,Almost no local results,★★★★★,HIGH,Hero content piece for jaga.care,"Highest intent, lowest competition"
home setup for bedridden patient,MY/SG,EN,Hospital Discharge,30-80,LOW,15-25,Informational,RM 0.30-0.80,"Generic articles, equipment retailers",★★★★★,HIGH,Visual guide with package recommendations,Maps directly to Package 2
what to buy before hospital discharge,MY/SG,EN,Hospital Discharge,20-60,VERY LOW,5-15,Info→Transactional,RM 0.10-0.50,No dedicated results,★★★★★,HIGH,Dont buy individually - get a package,Perfect for positioning bundles
elderly monitoring camera malaysia,MY,EN,Monitoring,50-150,LOW,25-35,Transactional,RM 1.00-2.50,"Shopee, Lazada, generic camera brands",★★★★☆,MEDIUM,As part of Package 1 benefits,Product-focused SERPs
home monitoring elderly,MY/SG,EN,Monitoring,50-150,LOW,25-35,Mixed,RM 0.50-1.50,"Generic tech articles, Amazon",★★★★☆,MEDIUM,Positioned as safety monitoring service,Cameras included in all packages
