Company,URL,Market,Type,Services Offered,SEO Strength,Est Monthly Traffic,Key Ranking Keywords,Weakness / Gap,Threat to jaga.care
Homage Malaysia,homage.com.my,MY,Home Care Platform,"Caregiver matching, nursing, physio, medical escort",STRONG,15000-30000,"home care malaysia, caregiver, elderly care, stroke care","No home modifications, no equipment, no safety setup",MEDIUM
Homage Singapore,homage.sg,SG,Home Care Platform,"Caregiver matching, nursing, physio, medical escort",VERY STRONG,50000-100000,"home care singapore, elderly care, caregiver","No home modifications, no equipment",MEDIUM
iElder,ielder.asia,MY/SG,Medical Equipment,"Equipment sales & rental (beds, wheelchairs, grab bars)",STRONG,10000-20000,"hospital bed rental, wheelchair, grab bar malaysia","Retail only, no installation, no assessment",LOW
MedBed,medbed.my,MY,Hospital Bed Rental,"Hospital bed rental, delivery, setup",MEDIUM,3000-8000,"hospital bed rental, sewa katil hospital","Single product focus, no home modifications",LOW
Pillar Care,pillarcare.com,MY,Home Care Service,"Caregiver placement, stroke care, elderly care",MEDIUM,3000-6000,"elderly care malaysia, stroke care, caregiver","No home modifications, no equipment",LOW
ReU Living,reuliving.com,MY,Residential Rehab,"In-facility stroke rehabilitation, residential program",MEDIUM,2000-5000,"stroke rehabilitation KL, stroke recovery","Facility-based only, not home-based",LOW
Genesis Life Care,genesiscare.com.my,MY,Residential Rehab,In-facility stroke rehabilitation centre,MEDIUM,2000-4000,stroke rehabilitation centre malaysia,"Facility-based, expensive",LOW
SilverCare (Alpro),alpropharmacy.com,MY,Equipment Rental,"Hospital bed, wheelchair, oxygen rental via 300+ pharmacy outlets",GROWING,5000-10000,"hospital bed rental, wheelchair rental",No home modification service,LOW
National Pharmacy,nationalpharmacy.com.my,MY,Equipment Rental,"Hospital bed rental, medical equipment",GROWING,1000-3000,"hospital bed rental KL, medical equipment rental","Single-service, aggressively producing SEO content",LOW
HDB EASE Programme,hdb.gov.sg,SG,Government,"Subsidised grab bars, anti-slip, ramps for HDB flats",DOMINANT,N/A,"EASE programme, HDB elderly, grab bars","Slow, bureaucratic, HDB only, no private property",MEDIUM for SG
Senior Care SG,seniorcaresingapore.com,SG,Home Improvement,"Elderly home modification, devices, cameras",MEDIUM,2000-5000,home modification elderly singapore,Closest competitor model in SG,MEDIUM
The Golden Concepts,thegoldenconcepts.com,SG,Medical Equipment,"Hospital beds, mobility aids, elderly care products",STRONG,5000-10000,"hospital bed singapore, elderly bed",Product retailer only,LOW
