Metric,Malaysia,Singapore,Source,Relevance to jaga.care
Annual stroke cases,~14000+,~8000+,WHO / GBD 2019,Core target market
Hospital stroke admissions per day,~92,~26,Malaysian stroke research,Daily demand pipeline
Stroke as cause of death (rank),3rd (7.8% of deaths),4th,MOH data,High public awareness
Population aged 60+,11.6% (~3.8M in 2024),~23% (~1.3M),Dept of Statistics,Growing addressable market
Projected aged society by,2030,Already aged,UN Population Division,Accelerating demand
Home-care bed rental growth,40%+ since 2022,Steady growth,Industry reports,Strong home care trend
Registered elderly care centres,393 + 26 nursing homes,AACs expanding,UNDP Malaysia,700-1000+ unregistered in MY
Gov investment in home mods,Minimal / no programme,S$150M+ via EASE (340K households),"HDB, MOH SG",SG has awareness; MY has gap
EASE expansion,N/A,Expanding to private property 2026-2028,Budget 2025 SG,Opportunity window for private service
Stroke survivors with dependency,70% leave with some dependency,Similar rates,"Genesis Life Care, WHO",~9800 potential MY customers/year
Competitors offering one-stop service,NONE,NONE (EASE is partial),Competitive analysis,First-mover advantage is REAL
